"budget_id","cout_transport","cout_food","cout_equipement","cout_health","cout_organisation","total"
"1","2523.02","3265.62","1571.95","983.40","949.01","9293.00"
"2","1904.89","2972.03","1249.99","906.16","851.93","7885.00"
"3","3174.65","3524.64","1807.99","1119.68","1729.04","11356.00"
"4","2708.11","2895.03","1562.08","897.27","1182.51","9245.00"
"5","4364.45","5384.55","2249.47","1729.78","2965.75","16694.00"
"6","2964.54","3591.26","1379.07","1018.68","1136.45","10090.00"
"7","2581.08","3342.01","1548.27","922.33","605.31","8999.00"
"8","1605.94","2212.11","1085.13","501.61","716.21","6121.00"
"9","4075.15","4675.62","2077.35","1324.60","1963.28","14116.00"
"10","2193.85","2952.88","1326.89","787.61","637.77","7899.00"
"11","4242.55","5451.25","2800.10","1576.35","2897.75","16968.00"
"12","2991.41","4414.25","1881.01","1141.60","1749.73","12178.00"
"13","2677.91","2868.78","1593.22","911.87","1182.22","9234.00"
"14","2265.12","3631.82","1399.29","1091.38","1346.39","9734.00"
"15","3808.75","4501.43","1769.10","1150.17","1797.55","13027.00"
"16","2917.94","3270.90","1242.28","866.08","1926.80","10224.00"
"17","3702.51","4219.93","1979.91","1208.81","2054.84","13166.00"
"18","3640.16","5670.71","2466.70","1520.08","3151.35","16449.00"
"19","3218.63","4546.11","1936.31","1661.41","2723.54","14086.00"
"20","3292.88","4422.15","2215.18","1245.55","2916.24","14092.00"
"21","2923.77","3997.12","1704.66","1039.28","2727.17","12392.00"
"22","5204.39","7010.71","2664.16","1835.12","2760.62","19475.00"
"23","2863.85","4755.75","1851.14","1461.54","1733.72","12666.00"
"24","1494.99","1804.47","866.16","551.03","849.35","5566.00"
"25","2496.47","3783.75","1534.55","1001.36","2168.87","10985.00"
"26","2562.88","3418.26","1830.47","939.16","2103.23","10854.00"
"27","4319.33","5772.49","2096.40","1488.40","3406.38","17083.00"
"28","3042.48","4015.17","1713.14","1314.17","2035.04","12120.00"
"29","2667.34","3174.59","1248.06","932.68","2213.33","10236.00"
"30","3773.37","4664.07","2022.77","1557.47","1384.32","13402.00"
"31","2992.59","3152.93","1854.71","1002.12","1447.65","10450.00"
"32","1864.42","2474.00","1284.35","933.00","1564.23","8120.00"
"33","1670.51","1829.73","981.24","585.95","1022.57","6090.00"
"34","2800.33","4495.36","1503.05","1157.45","1884.81","11841.00"
"35","5275.61","6413.59","3546.92","2017.55","3861.33","21115.00"
"36","4391.66","5968.46","3046.61","1565.37","2983.90","17956.00"
"37","3095.61","3818.32","1903.80","906.64","1561.63","11286.00"
"38","2906.95","4325.58","1717.74","1383.87","2058.86","12393.00"
"39","4033.23","5069.70","2392.50","1602.56","3488.01","16586.00"
"40","2857.02","3176.59","1599.85","850.68","1945.86","10430.00"
