"time_id","date","jour","mois","annee","saison"
"1","2016-01-30","30","1","2016","2016-2017"
"2","2017-12-15","15","12","2017","2017-2018"
"3","2018-01-28","28","1","2018","2018-2019"
"4","2018-04-08","8","4","2018","2018-2019"
"5","2018-06-07","7","6","2018","2018-2019"
"6","2019-08-28","28","8","2019","2019-2020"
"7","2019-08-30","30","8","2019","2019-2020"
"8","2019-12-24","24","12","2019","2019-2020"
"9","2022-04-12","12","4","2022","2022-2023"
"10","2023-01-01","1","1","2023","2023-2024"
"11","2023-01-02","2","1","2023","2023-2024"
"12","2023-01-03","3","1","2023","2023-2024"
"13","2023-01-04","4","1","2023","2023-2024"
"14","2023-01-05","5","1","2023","2023-2024"
"15","2023-01-06","6","1","2023","2023-2024"
"16","2023-01-07","7","1","2023","2023-2024"
"17","2023-01-08","8","1","2023","2023-2024"
"18","2023-01-09","9","1","2023","2023-2024"
"19","2023-01-10","10","1","2023","2023-2024"
"20","2023-01-11","11","1","2023","2023-2024"
"21","2023-01-12","12","1","2023","2023-2024"
"22","2023-01-13","13","1","2023","2023-2024"
"23","2023-01-14","14","1","2023","2023-2024"
"24","2023-01-15","15","1","2023","2023-2024"
"25","2023-01-16","16","1","2023","2023-2024"
"26","2023-01-17","17","1","2023","2023-2024"
"27","2023-01-18","18","1","2023","2023-2024"
"28","2023-01-19","19","1","2023","2023-2024"
"29","2023-01-20","20","1","2023","2023-2024"
"30","2023-01-21","21","1","2023","2023-2024"
"31","2023-01-22","22","1","2023","2023-2024"
"32","2023-01-23","23","1","2023","2023-2024"
"33","2023-01-24","24","1","2023","2023-2024"
"34","2023-01-25","25","1","2023","2023-2024"
"35","2023-01-26","26","1","2023","2023-2024"
"36","2023-01-27","27","1","2023","2023-2024"
"37","2023-01-28","28","1","2023","2023-2024"
"38","2023-02-01","1","2","2023","2023-2024"
"39","2023-02-02","2","2","2023","2023-2024"
"40","2023-02-03","3","2","2023","2023-2024"
"41","2023-02-04","4","2","2023","2023-2024"
"42","2023-02-05","5","2","2023","2023-2024"
"43","2023-02-06","6","2","2023","2023-2024"
"44","2023-02-07","7","2","2023","2023-2024"
"45","2023-02-08","8","2","2023","2023-2024"
"46","2023-02-09","9","2","2023","2023-2024"
"47","2023-02-10","10","2","2023","2023-2024"
"48","2023-02-11","11","2","2023","2023-2024"
"49","2023-02-12","12","2","2023","2023-2024"
"50","2023-02-13","13","2","2023","2023-2024"
