"time_id","country_id","activity_id","unite_id","nb_activities","budget_activite","durees_activite","nb_participants"
"27","1","1190","7","1","8060.00","6","56"
"27","1","4347","7","1","12094.00","5","60"
"30","1","1275","7","1","14891.00","6","91"
"34","1","1841","7","1","8228.00","4","99"
"36","1","4028","7","1","13705.00","5","89"
"39","1","666","7","1","14516.00","3","70"
"40","1","3467","7","1","11666.00","6","88"
"41","1","4893","7","1","14754.00","3","74"
"45","1","3925","7","1","12279.00","3","71"
"53","1","5254","7","1","12158.00","6","93"
"54","1","3491","7","1","13507.00","6","97"
"54","1","5031","7","1","10021.00","5","75"
"54","1","5752","7","1","12385.00","3","69"
"60","1","745","7","1","12585.00","3","91"
"60","1","2007","7","1","11762.00","4","80"
"68","1","4629","7","1","11594.00","4","72"
"90","1","3382","7","1","8952.00","4","78"
"100","1","1146","7","1","9035.00","3","56"
"100","1","2352","7","1","6543.00","4","55"
"103","1","4732","7","1","7077.00","5","48"
"105","1","2604","7","1","9549.00","3","59"
"110","1","231","7","1","11585.00","2","82"
"121","1","447","7","1","7439.00","5","63"
"124","1","3725","7","1","10926.00","5","82"
"150","1","3263","7","1","14261.00","6","142"
"151","1","3771","7","1","15312.00","7","137"
"166","1","181","7","1","19777.00","5","139"
"166","1","999","7","1","18814.00","5","141"
"194","1","4073","7","1","22749.00","6","123"
"201","1","3843","7","1","13941.00","8","109"
"204","1","4446","7","1","19974.00","7","95"
"209","1","239","7","1","17020.00","8","109"
"229","1","5938","7","1","17604.00","5","150"
"230","1","4173","7","1","18807.00","7","141"
"234","1","4135","7","1","13602.00","4","95"
"239","1","3377","7","1","14458.00","3","89"
"250","1","3620","7","1","14714.00","3","119"
"251","1","957","7","1","11293.00","6","116"
"259","1","5216","7","1","13082.00","4","88"
"265","1","3362","7","1","13434.00","6","90"
"272","1","3375","7","1","11095.00","5","103"
"283","1","488","7","1","15340.00","3","97"
"291","1","1219","7","1","12313.00","3","61"
"297","1","3976","7","1","12411.00","4","63"
"298","1","1730","7","1","15932.00","3","93"
"305","1","515","7","1","11175.00","4","67"
"308","1","1194","7","1","15576.00","4","101"
"309","1","4566","7","1","14256.00","5","118"
"310","1","4910","7","1","12184.00","5","66"
"336","1","1552","7","1","9064.00","3","72"
"346","1","3852","7","1","11004.00","5","63"
"358","1","1097","7","1","11664.00","6","51"
"359","1","2077","7","1","10006.00","6","88"
"362","1","3279","7","1","9298.00","3","99"
"365","1","5674","7","1","10708.00","6","83"
"377","1","1117","7","1","10987.00","6","85"
"383","1","3666","7","1","14144.00","6","62"
"384","1","477","7","1","13924.00","6","88"
"389","1","1840","7","1","14650.00","5","76"
"391","1","222","7","1","14395.00","3","85"
"391","1","4380","7","1","13446.00","5","55"
"394","1","4220","7","1","14186.00","3","93"
"404","1","4593","7","1","7695.00","5","77"
"408","1","4294","7","1","11796.00","4","79"
"409","1","1301","7","1","8407.00","2","69"
"418","1","5503","7","1","12505.00","3","66"
"425","1","1530","7","1","8048.00","5","78"
"433","1","3229","7","1","5833.00","4","50"
