"activity_id","budget_id","budget_reel","budget_prevu","budget_ecart","pris_activite"
"1","1","0","0","0","0"
"2","438","0","0","0","0"
"3","3757","0","0","0","0"
"4","4","0","0","0","0"
"5","4462","0","0","0","0"
"6","7394","0","0","0","0"
"7","7","0","0","0","0"
"8","8","0","0","0","0"
"9","7767","0","0","0","0"
"10","2896","0","0","0","0"
"11","11","0","0","0","0"
"12","12","0","0","0","0"
"13","13","0","0","0","0"
"14","14","0","0","0","0"
"15","15","0","0","0","0"
"16","16","0","0","0","0"
"17","17","0","0","0","0"
"18","18","0","0","0","0"
"19","8675","0","0","0","0"
"20","3079","0","0","0","0"
"21","3938","0","0","0","0"
"22","22","0","0","0","0"
"23","23","0","0","0","0"
"24","24","0","0","0","0"
"25","3172","0","0","0","0"
"26","8431","0","0","0","0"
"27","1342","0","0","0","0"
"28","7630","0","0","0","0"
"29","1779","0","0","0","0"
"30","30","0","0","0","0"
"31","5241","0","0","0","0"
"32","7053","0","0","0","0"
"33","33","0","0","0","0"
"34","34","0","0","0","0"
"35","35","0","0","0","0"
"36","5531","0","0","0","0"
"37","5532","0","0","0","0"
"38","7810","0","0","0","0"
"39","39","0","0","0","0"
"40","8397","0","0","0","0"
"41","41","0","0","0","0"
"42","7687","0","0","0","0"
"43","5368","0","0","0","0"
"44","44","0","0","0","0"
"45","6830","0","0","0","0"
"46","3272","0","0","0","0"
"47","3546","0","0","0","0"
"48","48","0","0","0","0"
"49","49","0","0","0","0"
"50","50","0","0","0","0"
"51","4091","0","0","0","0"
"52","52","0","0","0","0"
"53","53","0","0","0","0"
"54","54","0","0","0","0"
"55","6530","0","0","0","0"
"56","56","0","0","0","0"
"57","57","0","0","0","0"
"58","7164","0","0","0","0"
"59","59","0","0","0","0"
"60","60","0","0","0","0"
"61","61","0","0","0","0"
"62","6790","0","0","0","0"
"63","63","0","0","0","0"
"64","64","0","0","0","0"
"65","4276","0","0","0","0"
"66","66","0","0","0","0"
"67","1098","0","0","0","0"
"68","949","0","0","0","0"
"69","69","0","0","0","0"
"70","70","0","0","0","0"
"71","7712","0","0","0","0"
"72","2548","0","0","0","0"
"73","73","0","0","0","0"
"74","3380","0","0","0","0"
"75","75","0","0","0","0"
"76","76","0","0","0","0"
"77","77","0","0","0","0"
"78","6437","0","0","0","0"
"79","933","0","0","0","0"
"80","80","0","0","0","0"
"81","5823","0","0","0","0"
"82","8649","0","0","0","0"
"83","83","0","0","0","0"
"84","84","0","0","0","0"
"85","2773","0","0","0","0"
"86","86","0","0","0","0"
"87","87","0","0","0","0"
"88","88","0","0","0","0"
"89","6368","0","0","0","0"
"90","653","0","0","0","0"
"91","5977","0","0","0","0"
"92","92","0","0","0","0"
"93","93","0","0","0","0"
"94","94","0","0","0","0"
"95","7224","0","0","0","0"
"96","4656","0","0","0","0"
"97","97","0","0","0","0"
"98","5884","0","0","0","0"
"99","6712","0","0","0","0"
